date,cancel_public_events,school_closing,restrictions_on_gathering,close_public_transport,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt/contract_relief,public_information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,protection_of_elderly_people,total_cases,new_cases,total_deaths,new_deaths,workplace_closing,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2022-01-09,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,35707727.0,179723.0,483936.0,146.0,3.0,1517705282.0,886204082.0,631501200.0,0.0
2022-01-10,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,35875790.0,168063.0,484213.0,277.0,3.0,1524222751.0,889459819.0,634265259.0,0.0
2022-01-11,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,36070510.0,194720.0,484655.0,442.0,3.0,1537841948.0,895852039.0,640117846.0,0.0
2022-01-12,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,36317927.0,247417.0,485035.0,380.0,3.0,1544297708.0,898710263.0,643070555.0,0.0
2022-01-13,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,36582129.0,264202.0,485446.0,411.0,3.0,1553919710.0,903038624.0,647586748.0,3294338.0
2022-01-14,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,36850962.0,268833.0,485752.0,306.0,3.0,1556478542.0,904086765.0,648878102.0,3513675.0
2022-01-15,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,37122164.0,271202.0,486066.0,314.0,3.0,1565638547.0,908005349.0,653514044.0,4119154.0
2022-01-16,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,37380253.0,258089.0,486451.0,385.0,3.0,1570696006.0,910386043.0,656011893.0,4298070.0
2022-01-17,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,37618271.0,238018.0,486761.0,310.0,3.0,1575863289.0,912552134.0,658614500.0,0.0
2022-01-18,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,37901241.0,282970.0,487202.0,441.0,3.0,1576006300.0,912567911.0,658765881.0,4672508.0
